;Europa;Karibik;Naher Osten;Nordamerika;Polarregionen;Südamerika;Südost-Asien;Westafrika;Zentralasien
1981;7,36;20,73;18,5;8,78;4,41;12,21;13,42;14,95;
1982;7,92;17,15;20,88;9,21;4,82;16,73;13,86;19,47;6,52
1983;7,79;20,65;19,87;8,84;4,46;15,31;14,05;21,04;5,91
1984;7,08;17,75;16,54;8,42;4,1;13,2;12,96;16,22;6,13
1985;6,77;14,94;19,62;8,8;4,56;14,56;12,48;16,58;6,08
1986;6,88;11,68;15,79;8,87;4,12;11,16;13,77;15,42;5,79
1987;7,06;15,13;;8,68;4,32;12,58;13,59;15,66;5,79
1988;6,08;14,82;;8,4;4,75;11,82;13,02;15,65;6,38
1989;7,02;14,07;15,09;8,52;4,94;13,67;12,84;14,9;5,85
1990;6,91;13,27;18,27;8,95;4,78;14,92;13,48;15,37;7,07
1991;7,34;14,11;18,41;8,86;4,44;14,52;13,07;18,32;6,33
1992;7,48;12,01;13,62;8,86;4,42;13,36;14,52;17,98;7,79
1993;7,63;17,12;19,26;8,93;4,73;14,5;13,85;17,41;8,05
1994;7,73;13,49;22,89;8,89;5,26;13,95;15,06;20,12;13,25
1995;6,83;27,39;22,56;12,15;5,91;17,11;14,1;15,93;5,95
1996;6,89;25,99;18,63;9,21;4,73;13,69;13,96;15,31;6,02
1997;7,33;19,59;18,14;8,7;4,39;13,57;13,2;16,57;6,08
1998;6,72;22,45;15,61;9,16;4,63;12,85;14,17;15,85;5,75
1999;6,83;12,31;7,69;8,98;4,36;11,71;13,05;13,57;5,28
2000;7,09;11,92;12,52;8,42;4,6;12,37;13,46;17,92;5,94
2001;6,53;11,93;9,48;8,25;5,72;13,84;13,27;16,36;5,89
2002;7,48;26,92;14,64;8,77;4,53;13,1;13,44;14,65;5,52
2003;7,26;31,49;10,88;8,61;4,86;16,76;14,19;14,4;
2004;7,25;25,17;12,68;8,91;4,66;15,09;13,85;14,58;5,59
2005;7,17;25,49;11,48;9,5;5,1;13,75;14,66;15,17;
2006;7,57;14,35;10,66;9,13;4,89;13,7;14,68;16,63;6,34
2007;7,72;13,82;10,65;8,8;4,66;12,81;14,6;15,75;6,09
2008;7,84;14,31;11,31;9,24;4,78;13,35;15,3;15,63;5,71
2009;7,46;15,38;11,08;8,88;5,01;12,72;14,69;15,25;0,55
2010;7,59;14,24;12,95;9,38;4,8;13,08;14,89;16,18;5,76
2011;7,45;14,61;9,63;8,81;4,51;12,28;14,73;15,19;5,45
2012;7,45;12,63;8,93;8,49;4,7;13,17;14,28;16,37;5,62
2013;7,30;15,26;11,21;8,72;4,49;13,51;14,96;14,93;6,56
2014;7,57;13,21;10,29;8,89;4,79;13,44;14,25;15,4;5,88
2015;7,29;14,27;11,72;9,27;4,91;13,67;14,26;15,84;6,04
2016;7,36;16,08;11,15;9,25;4,68;12,37;14,96;16,44;6,88
2017;7,36;13,72;10,9;9,25;5,32;13,09;14,53;15,66;6,57
2018;7,28;13,6;9,89;9,31;6,3;12,25;14,03;15,91;6,98
2019;7,43;13,85;10,6;9,07;5,56;12,45;13,87;15,93;7,45
2020;7,70;14,15;11,85;8,6;4,44;12,59;14,46;16,28;7,25
2021;7,68;13,87;14,13;8,92;4,44;12,93;15,04;14,9;7,24
