"year","count","rx5day_average"
1981,712,86
1982,719,101
1983,742,94
1984,769,84
1985,780,82
1986,805,80
1987,817,84
1988,55,84
1989,865,81
1990,881,86
1991,908,91
1992,859,91
1993,883,104
1994,910,103
1995,923,85
1996,947,85
1997,1019,80
1998,1050,74
1999,1070,73
2000,1017,75
2001,1033,70
2002,1040,85
2003,1052,74
2004,1045,78
2005,941,80
2006,1029,82
2007,1037,80
2008,1032,80
2009,1032,81
2010,1030,85
2011,1041,75
2012,1041,73
2013,1044,77
2014,1054,84
2015,1081,74
2016,1091,80
2017,1080,77
2018,1068,83
2019,1073,79
2020,1064,83
2021,1033,87
